site_id,customer_group_name,site_name,site_address,city,state,zip,longitude,latitude,pump_certified,branded,brand,updated_at
2025,World Fuel Services,Fox Fuels Northgate,4455 W. Northgate,Irving,TX,nan,-97.01062,32.85803,0,null,null,2026-05-26 19:14:32.573469+00
2028,World Fuel Services,Penny Saver,780 W Hurst Blvd,Hurst,TX,nan,-97.18635,32.80953,0,null,null,2026-05-26 19:14:32.573469+00
3009,Nasif,Nasif,800 W Crawford St,Denison,TX,nan,-96.54647,33.75348,0,null,null,2026-05-26 19:14:34.295015+00
3016,Boyett,Lawrence Market,"8273 Fm 356, Trinity, Tx  75862",Trinity,TX,nan,-95.25024,30.90964,0,null,null,2026-05-26 19:14:34.295015+00
3017,Boyett,Producers Cooperative Association,1800 N Texas Ave #1831,Bryan,TX,nan,-96.37516,30.69061,0,null,null,2026-05-26 19:14:34.295015+00
3018,Benchmark,Sams # 6265,1213 Market Place Blvd,Irving,TX,nan,-96.9626,32.91982,0,null,null,2026-05-26 19:14:34.295015+00
3044,KAG_SEI,Racetrac 690-RaceTrac-KAG_SEI,951 Altamesa Blvd,Forth Worth,TX,nan,-97.33405,32.64839,0,null,null,2026-05-26 19:14:34.295015+00
779,KAG_SEI,Texaco Ennis,1005 S Kaufman,Ennis,TX,75119,-96.61903,32.32084,0,null,null,2026-05-26 19:14:31.311363+00
780,KAG_SEI,VST Enterprises,211 S Beckley,Dallas,TX,75220,-96.82308,32.74382,0,null,null,2026-05-26 19:14:31.311363+00
781,KAG_SEI,Rangler # 5,301 West Lingleville Rd,Stephenville,TX,76106,-98.21205,32.23146,0,null,null,2026-05-26 19:14:31.311363+00
1276,SC_FUELS,Dallas Independent School,2517 S Ervay Street,Dallas,TX,75215,-96.7825,32.76515,0,null,null,2026-05-26 19:14:31.899791+00
3019,Benchmark,Sams Club 4911,1740 N. Hwy 157,Mansfield,TX,nan,-97.14834,32.5933,0,null,null,2026-05-26 19:14:34.295015+00
3020,Benchmark,Sams 4905,2850 W University Dr,Denton,TX,nan,-97.16828,33.23058,0,null,null,2026-05-26 19:14:34.295015+00
3021,Benchmark,Sams 6381,751 W Main St,Lewisville,TX,nan,-97.01093,33.04725,0,null,null,2026-05-26 19:14:34.295015+00
3022,Benchmark,Neighborhood Market 5824,1951 Military Parkway,Mesquite,TX,nan,-96.62834,32.76921,0,null,null,2026-05-26 19:14:34.295015+00
1277,SC_FUELS,Hoover Valley Country Store,7203 Park Rd 4 W,Burnet,TX,78611,-98.38006,30.71128,0,null,null,2026-05-26 19:14:31.899791+00
3023,Benchmark,Neighborhood Market 7251,7800 Summer Creek Drive,Fortworth,TX,nan,-97.40757,32.62978,0,null,null,2026-05-26 19:14:34.295015+00
3024,GPM EMPIRE,Ez Mart  #4335,1900 E. Mayfield Rd,Arlington,TX,nan,-97.08007,32.69116,0,null,null,2026-05-26 19:14:34.295015+00
1278,SC_FUELS,RL Carriers - Temple,2575 Lucius Mcelvery Dr.,Temple,TX,76504,-97.35307,31.12671,0,null,null,2026-05-26 19:14:31.899791+00
1279,SC_FUELS,Southeastern Freight Lines - F,5300 Martin Street,Fort Worth,TX,76119,-97.24312,32.6888,0,null,null,2026-05-26 19:14:31.899791+00
